Variables;Estimate;Std..Error;z.value;Pr...z..;p;processus;prunning
(Intercept);-5.01310128122075;0.621241843887408;-8.06948426051177;7.05957334828237e-16;0.00660631339031416;Occ_budbreak;GU_unpr
zeta_week_min;4.80025505862313;0.670978188524013;7.15411490376834;8.42145054100815e-13;0.991839493528044;Occ_budbreak;GU_unpr
intensite;5.61454044884339;1.3728689696669;4.08964043393424;4.32042421998073e-05;0.996368749893165;Occ_budbreak;GU_unpr
(Intercept);-8.69710674627954;1.03710592492979;-8.38593873318031;5.03225409360057e-17;0.000167040576700068;Occ_budbreak;GU_pr
Diam_;0.381537478135214;0.0436904039653294;8.73275235536811;2.48548894713296e-18;0.594243870380359;Occ_budbreak;GU_pr
intensite;8.03135227217736;2.26766793600519;3.54167916062953;0.000397588751578008;0.999674997384384;Occ_budbreak;GU_pr
zeta_week_min;4.52841674158007;0.56838135485571;7.96721550222149;1.62289517049809e-15;0.989317587914523;Occ_budbreak;GU_pr
(Intercept);-4.11123346607075;0.652828213187231;-6.29757320995509;3.02341578418607e-10;0.0161233267691631;Int_budbreak;GU_unpr
Diam_;0.23652522293848;0.0713894267184307;3.31316882360418;0.000922452805174644;0.558857168232691;Int_budbreak;GU_unpr
intensite;2.23082824667182;0.755000119222321;2.95473893298144;0.00312933732961284;0.902983940909553;Int_budbreak;GU_unpr
zeta_day_min;2.96680907266443;0.529653630143392;5.60141364812554;2.12610696545812e-08;0.951051946113706;Int_budbreak;GU_unpr
(Intercept);-2.49800463131995;0.374566639032835;-6.66905263578739;2.57459911505768e-11;0.0759981812208593;Int_budbreak;GU_pr
Diam_;0.222828775977589;0.026770740312201;8.32359409485708;8.53354759583596e-17;0.555477831891665;Int_budbreak;GU_pr
intensite;1.48321394056089;0.282845393483577;5.24390347070303;1.57214472618513e-07;0.81505753672257;Int_budbreak;GU_pr
zeta_day_min;3.20733229358259;0.51419945815894;6.23752561907835;4.44546321646741e-10;0.961109273942859;Int_budbreak;GU_pr
Diam_:zeta_day_min;-0.18807797141465;0.0389693152964195;-4.8263093663319;1.39086400254085e-06;0.453118621587192;Int_budbreak;GU_pr
(Intercept);-7.64065245993332;1.68004183260867;-4.54789417241436;5.41853691427135e-06;0.000480284049471784;Occ_buddeath;GU_unpr
ToT_F;1.50300852676531;0.332180113806183;4.52467942630143;6.04871187854907e-06;0.818022758645431;Occ_buddeath;GU_unpr
(Intercept);-2.36230433497628;0.289287511401019;-8.16593956488354;3.1894293071146e-16;0.0860927146589443;Occ_buddeath;GU_pr
ToT_F;0.473211239303217;0.0573944209492976;8.24489961700724;1.65298928070876e-16;0.616143531499092;Occ_buddeath;GU_pr
(Intercept);-0.649083006588004;0.396994293571418;-1.63499329108426;0.102050454030539;0.522524708854293;Int_buddeath;GU_pr
PPFDcum_day_max;-0.142380409827735;0.0532072012130527;-2.67596127181384;0.00745152551383367;0.867291267602681;Int_buddeath;GU_pr
ToT_F;0.198236594929762;0.0262142222333346;7.56217724734476;3.96377735435911e-14;1.21925082826331;Int_buddeath;GU_pr
(Intercept);-2.112039613484;0.338543475500385;-6.23860675608146;4.41485281674373e-10;0.107932129998988;Occ_GUdeath;GU_unpr
TrPPFD_week_min;-28.269823076578;12.1402179628378;-2.32860918668134;0.0198797789451521;5.27924519678159e-13;Occ_GUdeath;GU_unpr
(Intercept);0.341578306813809;0.416437571325513;0.820238927353679;0.412079914549144;0.584573861513455;Occ_GUdeath;GU_pr
Diam_;-0.213257303494695;0.0457344792350367;-4.66294373657852;3.11717997852901e-06;0.446886814833842;Occ_GUdeath;GU_pr
ni_1;-0.654427289846001;0.155326173026922;-4.21324543760292;2.51727265371426e-05;0.341992552341264;Occ_GUdeath;GU_pr
ni_2;0.242974427835917;0.125985727474067;1.92858693367414;0.0537821624315387;0.560446519541321;Occ_GUdeath;GU_pr
intensite;2.24477738030328;0.572125862674435;3.92357263803796;8.72454439579771e-05;0.904199089631475;Occ_GUdeath;GU_pr
TrPPFD_week_min;-17.8836430960023;3.82458519913515;-4.67596933127448;2.92568332101333e-06;1.71093093847128e-08;Occ_GUdeath;GU_pr
